columna,familia,dtype,dtype_general,n_null,null_pct,n_unique,unique_pct,es_constante,uso_sugerido,motivo,min,p25,median,mean,p75,max,std
infys_secc_cong_c2009_2014_derivado_mun_sitio3_mean_20092014,infys,float64,numeric,9131,0.031255,29,9.9e-05,0,candidata_modelado,variable numérica candidata para modelado,0.8310580204778157,0.9222846441947564,0.9602905569007264,0.9509326127139175,0.9812606473594548,1.0,0.04078301644463598
infys_secc_cong_c2009_2014_derivado_mun_sitio4_mean_20092014,infys,float64,numeric,9131,0.031255,30,0.000103,0,candidata_modelado,variable numérica candidata para modelado,0.8139931740614335,0.9288389513108616,0.9545131485429992,0.9438796396473415,0.9778534923339012,1.0,0.04341985011912824
infys_secc_cong_c2009_2014_derivado_mun_sitiosxcgl_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,candidata_modelado,variable numérica candidata para modelado,2.8813438170121515,3.482200647249191,3.639575971731449,3.6023384464849832,3.845047923322684,3.939393939393939,0.2689005507600528
infys_secc_cong_c2015_2020_derivado_mun_consueloc3_mean_20152020,infys,float64,numeric,0,0.0,32,0.00011,0,candidata_modelado,variable numérica candidata para modelado,0.0925324675324675,0.3773946360153257,0.4565217391304347,0.4439337942567979,0.5283687943262412,0.6486486486486487,0.107612479984987
infys_secc_cong_c2015_2020_derivado_mun_sitiosxcglc3_mean_20152020,infys,float64,numeric,0,0.0,32,0.00011,0,candidata_modelado,variable numérica candidata para modelado,1.6442953020134228,3.143373493975904,3.4149659863945576,3.306701286348849,3.6,4.0,0.4549940132594545
infys_secc_sitios_c2009_2014_derivado_mun_pendientec1_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,candidata_modelado,variable numérica candidata para modelado,1.393451876940446,13.944324324324324,19.83378096090719,18.111890015775863,23.04294175715696,29.21298701298701,7.661734753740374
infys_secc_sitios_c2009_2014_derivado_mun_pendientec2_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,candidata_modelado,variable numérica candidata para modelado,1.1261998870694525,13.7475,18.446540880503143,17.84448504582559,22.639684106614016,30.6046511627907,7.7725670620948435
infys_secc_sitios_c2009_2014_derivado_mun_pendientec3_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,candidata_modelado,variable numérica candidata para modelado,0.663362952836637,13.675438596491228,17.954584650761714,16.687238357703603,21.677010766307788,28.33879781420765,7.4589103307088465
infys_secc_sitios_c2009_2014_derivado_mun_pendientec4_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,candidata_modelado,variable numérica candidata para modelado,0.3724350205198358,13.316440777843251,17.38216560509554,16.08743204188841,20.596958174904945,27.756830601092897,7.2482469819303255
infys_secc_sitios_c2009_2014_derivado_mun_porcentajerepoblado_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,candidata_modelado,variable numérica candidata para modelado,13.259896729776248,19.650943396226417,23.54158415841584,24.622960369004353,30.864461045891144,42.63286832255869,6.683573139210519
infys_secc_sitios_c2015_2020_derivado_punto_conarboladoc3_mean_20152020,infys,float64,numeric,0,0.0,32,0.00011,0,candidata_modelado,variable numérica candidata para modelado,0.3622754491017964,0.7540983606557377,0.8116883116883117,0.7880140443962813,0.8824251350024546,0.929620253164557,0.13798283736256048
infys_secc_sitios_c2015_2020_derivado_punto_conarboladomanglarc3_mean_20152020,infys,float64,numeric,0,0.0,12,4.1e-05,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,0.0022861379340481124,0.0055696202531645,0.0104333868378812,0.0036081707257491534
infys_secc_sitios_c2015_2020_derivado_punto_concobertura1m2c3_mean_20152020,infys,float64,numeric,0,0.0,29,9.9e-05,0,candidata_modelado,variable numérica candidata para modelado,0.9193548387096774,0.9859335038363172,0.994330262225372,0.988635866056555,0.997005988023952,1.0,0.015959773358090245
infys_secc_sitios_c2015_2020_derivado_punto_confotografiahemisfericac3_mean_20152020,infys,float64,numeric,0,0.0,31,0.000106,0,candidata_modelado,variable numérica candidata para modelado,0.0166840458811261,0.0831485587583148,0.1181713628522139,0.12044632489658584,0.1679659815733522,0.1956521739130435,0.04919865746090339
infys_secc_sitios_c2015_2020_derivado_punto_conparametrosfisicoquimicosc3_mean_20152020,infys,float64,numeric,0,0.0,17,5.8e-05,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0,0.013657237431733494,0.0162025316455696,0.2275449101796407,0.03974130196443936
infys_secc_sitios_c2015_2020_derivado_punto_consotobosquec3_mean_20152020,infys,float64,numeric,0,0.0,32,0.00011,0,candidata_modelado,variable numérica candidata para modelado,0.1856100104275286,0.7540322580645161,0.9042357274401474,0.8163157175726578,0.951696377228292,0.9782608695652174,0.1996605366639532
infys_secc_sitios_c2015_2020_derivado_punto_consubmuestrac3_mean_20152020,infys,float64,numeric,0,0.0,32,0.00011,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0590778097982708,0.1585434173669467,0.1700212160161372,0.2244224422442244,0.5409836065573771,0.14938058221952166
infys_secc_sitios_c2015_2020_derivado_punto_convegmayorgregariosc3_mean_20152020,infys,float64,numeric,0,0.0,17,5.8e-05,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0005750431282346,0.029872348809010178,0.0324675324675324,0.2455858747993579,0.05535950382782066
infys_suelos_c2015_2020_base_concanalilloscanalesc3_mean_20152020,infys,float64,numeric,0,0.0,23,7.9e-05,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0126315789473684,0.015503504837547151,0.0291970802919708,0.0470588235294117,0.014970363463466472
infys_suelos_c2015_2020_base_concarcavasc3_mean_20152020,infys,float64,numeric,0,0.0,23,7.9e-05,0,candidata_modelado,variable numérica candidata para modelado,0.0,0.0,0.0173160173160173,0.02711911782621374,0.0497667185069984,0.0909090909090909,0.027711012586389756
